Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BE","Bioenergy","036","Australia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","807.7","X","Figure from international organizations"
"BE","Bioenergy","040","Austria","5851","Energy consumption","6522","Biogases","2023","2023","TJ","257.853","X","Figure from international organizations"
"BE","Bioenergy","112","Belarus","5851","Energy consumption","6522","Biogases","2023","2023","TJ","43.826","I","Imputed value"
"BE","Bioenergy","056","Belgium","5851","Energy consumption","6522","Biogases","2023","2023","TJ","2410","X","Figure from international organizations"
"BE","Bioenergy","070","Bosnia and Herzegovina","5851","Energy consumption","6522","Biogases","2023","2023","TJ","46","I","Imputed value"
"BE","Bioenergy","100","Bulgaria","5851","Energy consumption","6522","Biogases","2023","2023","TJ","415.524","I","Imputed value"
"BE","Bioenergy","120","Cameroon","5851","Energy consumption","6522","Biogases","2023","2023","TJ","6","I","Imputed value"
"BE","Bioenergy","124","Canada","5851","Energy consumption","6522","Biogases","2023","2023","TJ","667","X","Figure from international organizations"
"BE","Bioenergy","152","Chile","5851","Energy consumption","6522","Biogases","2023","2023","TJ","594.334","X","Figure from international organizations"
"BE","Bioenergy","159","China","5851","Energy consumption","6522","Biogases","2023","2023","TJ","20.284","E","Estimated value"
"BE","Bioenergy","158","China, Taiwan Province of","5851","Energy consumption","6522","Biogases","2023","2023","TJ","20.284","I","Imputed value"
"BE","Bioenergy","188","Costa Rica","5851","Energy consumption","6522","Biogases","2023","2023","TJ","10.49","I","Imputed value"
"BE","Bioenergy","191","Croatia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","24.388","I","Imputed value"
"BE","Bioenergy","196","Cyprus","5851","Energy consumption","6522","Biogases","2023","2023","TJ","202.758","I","Imputed value"
"BE","Bioenergy","203","Czechia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","6200","X","Figure from international organizations"
"BE","Bioenergy","208","Denmark","5851","Energy consumption","6522","Biogases","2023","2023","TJ","1024.378","X","Figure from international organizations"
"BE","Bioenergy","233","Estonia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","295.676","I","Imputed value"
"BE","Bioenergy","246","Finland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","864","X","Figure from international organizations"
"BE","Bioenergy","250","France","5851","Energy consumption","6522","Biogases","2023","2023","TJ","8960.904","X","Figure from international organizations"
"BE","Bioenergy","268","Georgia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","","O","Missing value"
"BE","Bioenergy","276","Germany","5851","Energy consumption","6522","Biogases","2023","2023","TJ","23193","X","Figure from international organizations"
"BE","Bioenergy","300","Greece","5851","Energy consumption","6522","Biogases","2023","2023","TJ","466.92","X","Figure from international organizations"
"BE","Bioenergy","348","Hungary","5851","Energy consumption","6522","Biogases","2023","2023","TJ","950","I","Imputed value"
"BE","Bioenergy","352","Iceland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","79.061","I","Imputed value"
"BE","Bioenergy","360","Indonesia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","540","I","Imputed value"
"BE","Bioenergy","372","Ireland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","283.795","X","Figure from international organizations"
"BE","Bioenergy","376","Israel","5851","Energy consumption","6522","Biogases","2023","2023","TJ","","O","Missing value"
"BE","Bioenergy","380","Italy","5851","Energy consumption","6522","Biogases","2023","2023","TJ","1931.721","X","Figure from international organizations"
"BE","Bioenergy","428","Latvia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","288.032","X","Figure from international organizations"
"BE","Bioenergy","438","Liechtenstein","5851","Energy consumption","6522","Biogases","2023","2023","TJ","20.3","X","Figure from international organizations"
"BE","Bioenergy","440","Lithuania","5851","Energy consumption","6522","Biogases","2023","2023","TJ","457","I","Imputed value"
"BE","Bioenergy","442","Luxembourg","5851","Energy consumption","6522","Biogases","2023","2023","TJ","86.389","X","Figure from international organizations"
"BE","Bioenergy","470","Malta","5851","Energy consumption","6522","Biogases","2023","2023","TJ","41.527","I","Imputed value"
"BE","Bioenergy","104","Myanmar","5851","Energy consumption","6522","Biogases","2023","2023","TJ","1","I","Imputed value"
"BE","Bioenergy","524","Nepal","5851","Energy consumption","6522","Biogases","2023","2023","TJ","10667.86","I","Imputed value"
"BE","Bioenergy","528","Netherlands (Kingdom of the)","5851","Energy consumption","6522","Biogases","2023","2023","TJ","2796.409","X","Figure from international organizations"
"BE","Bioenergy","554","New Zealand","5851","Energy consumption","6522","Biogases","2023","2023","TJ","235","X","Figure from international organizations"
"BE","Bioenergy","578","Norway","5851","Energy consumption","6522","Biogases","2023","2023","TJ","492.358","X","Figure from international organizations"
"BE","Bioenergy","616","Poland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","3618.418","X","Figure from international organizations"
"BE","Bioenergy","620","Portugal","5851","Energy consumption","6522","Biogases","2023","2023","TJ","520.448","I","Imputed value"
"BE","Bioenergy","410","Republic of Korea","5851","Energy consumption","6522","Biogases","2023","2023","TJ","957.368","X","Figure from international organizations"
"BE","Bioenergy","498","Republic of Moldova","5851","Energy consumption","6522","Biogases","2023","2023","TJ","167","X","Figure from international organizations"
"BE","Bioenergy","642","Romania","5851","Energy consumption","6522","Biogases","2023","2023","TJ","106.622","I","Imputed value"
"BE","Bioenergy","882","Samoa","5851","Energy consumption","6522","Biogases","2023","2023","TJ","0.1","X","Figure from international organizations"
"BE","Bioenergy","688","Serbia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","803.07","I","Imputed value"
"BE","Bioenergy","703","Slovakia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","821","I","Imputed value"
"BE","Bioenergy","705","Slovenia","5851","Energy consumption","6522","Biogases","2023","2023","TJ","105.664","X","Figure from international organizations"
"BE","Bioenergy","724","Spain","5851","Energy consumption","6522","Biogases","2023","2023","TJ","2696.965","X","Figure from international organizations"
"BE","Bioenergy","752","Sweden","5851","Energy consumption","6522","Biogases","2023","2023","TJ","96","X","Figure from international organizations"
"BE","Bioenergy","756","Switzerland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","1904.47","I","Imputed value"
"BE","Bioenergy","764","Thailand","5851","Energy consumption","6522","Biogases","2023","2023","TJ","27780","X","Figure from international organizations"
"BE","Bioenergy","826","United Kingdom of Great Britain and Northern Ireland","5851","Energy consumption","6522","Biogases","2023","2023","TJ","140","X","Figure from international organizations"
"BE","Bioenergy","840","United States of America","5851","Energy consumption","6522","Biogases","2023","2023","TJ","3010.978","X","Figure from international organizations"
